"日付け","終値","始値","高値","安値","出来高","前日比%"
"2020年05月26日","6,649.0","6,440.0","6,680.0","6,426.0","7.74M","4.17%"
"2020年05月25日","6,383.0","6,385.0","6,395.0","6,336.0","3.07M","1.49%"
"2020年05月22日","6,289.0","6,420.0","6,436.0","6,280.0","4.65M","-1.15%"
"2020年05月21日","6,362.0","6,441.0","6,445.0","6,354.0","3.53M","-0.83%"
"2020年05月20日","6,415.0","6,402.0","6,431.0","6,387.0","4.27M","-0.25%"
"2020年05月19日","6,431.0","6,346.0","6,462.0","6,338.0","7.02M","2.78%"
"2020年05月18日","6,257.0","6,280.0","6,300.0","6,248.0","4.35M","0.13%"
"2020年05月15日","6,249.0","6,300.0","6,320.0","6,208.0","5.48M","0.10%"
"2020年05月14日","6,243.0","6,300.0","6,326.0","6,243.0","6.49M","-2.21%"
"2020年05月13日","6,384.0","6,412.0","6,460.0","6,372.0","8.13M","-2.19%"
"2020年05月12日","6,527.0","6,610.0","6,655.0","6,485.0","7.81M","-1.97%"
"2020年05月11日","6,658.0","6,620.0","6,675.0","6,582.0","5.18M","2.56%"
"2020年05月08日","6,492.0","6,448.0","6,511.0","6,421.0","5.45M","1.22%"
"2020年05月07日","6,414.0","6,382.0","6,457.0","6,373.0","5.93M","-1.23%"
"2020年05月01日","6,494.0","6,603.0","6,629.0","6,458.0","6.17M","-2.58%"
"2020年04月30日","6,666.0","6,820.0","6,875.0","6,662.0","8.07M","-0.28%"
"2020年04月28日","6,685.0","6,632.0","6,730.0","6,615.0","3.91M","0.39%"
"2020年04月27日","6,659.0","6,556.0","6,670.0","6,542.0","4.21M","1.77%"
"2020年04月24日","6,543.0","6,450.0","6,570.0","6,447.0","4.81M","-0.41%"
"2020年04月23日","6,570.0","6,553.0","6,573.0","6,513.0","3.44M","1.08%"
"2020年04月22日","6,500.0","6,505.0","6,529.0","6,451.0","4.71M","-0.91%"
"2020年04月21日","6,560.0","6,619.0","6,654.0","6,556.0","4.51M","-1.13%"
"2020年04月20日","6,635.0","6,665.0","6,725.0","6,635.0","4.46M","-1.79%"
"2020年04月17日","6,756.0","6,638.0","6,792.0","6,624.0","6.73M","2.33%"
"2020年04月16日","6,602.0","6,592.0","6,620.0","6,561.0","5.69M","-2.02%"
"2020年04月15日","6,738.0","6,680.0","6,750.0","6,651.0","5.27M","-0.18%"
"2020年04月14日","6,750.0","6,535.0","6,755.0","6,535.0","6.72M","3.45%"
"2020年04月13日","6,525.0","6,560.0","6,636.0","6,516.0","4.13M","-1.66%"
"2020年04月10日","6,635.0","6,580.0","6,691.0","6,551.0","5.92M","-0.67%"
"2020年04月09日","6,680.0","6,719.0","6,729.0","6,609.0","5.75M","-1.08%"
"2020年04月08日","6,753.0","6,641.0","6,771.0","6,553.0","8.60M","2.04%"
"2020年04月07日","6,618.0","6,661.0","6,737.0","6,444.0","9.43M","0.58%"
"2020年04月06日","6,580.0","6,230.0","6,634.0","6,172.0","10.57M","6.21%"
"2020年04月03日","6,195.0","6,250.0","6,372.0","6,163.0","8.03M","-1.46%"
"2020年04月02日","6,287.0","6,330.0","6,405.0","6,270.0","10.08M","-0.69%"
"2020年04月01日","6,331.0","6,430.0","6,603.0","6,260.0","11.15M","-2.61%"
"2020年03月31日","6,501.0","6,776.0","6,797.0","6,486.0","11.77M","-4.35%"
"2020年03月30日","6,797.0","6,709.0","6,817.0","6,589.0","11.47M","-3.30%"
"2020年03月27日","7,029.0","6,980.0","7,029.0","6,733.0","15.26M","4.63%"
"2020年03月26日","6,718.0","6,750.0","6,832.0","6,638.0","12.04M","-2.91%"
"2020年03月25日","6,919.0","6,545.0","6,919.0","6,497.0","12.81M","10.65%"
"2020年03月24日","6,253.0","6,265.0","6,295.0","6,115.0","12.09M","1.31%"
"2020年03月23日","6,172.0","6,195.0","6,279.0","6,139.0","15.51M","-3.49%"
"2020年03月19日","6,395.0","6,320.0","6,589.0","6,318.0","18.74M","1.23%"
"2020年03月18日","6,317.0","6,325.0","6,777.0","6,300.0","18.42M","-0.68%"
