"日付け","終値","始値","高値","安値","出来高","前日比%"
"2020年08月11日","8,300.0","7,850.0","8,570.0","7,820.0","3.33M","1.47%"
"2020年08月07日","8,180.0","8,770.0","8,790.0","8,060.0","5.66M","-10.80%"
"2020年08月06日","9,170.0","8,970.0","9,240.0","8,620.0","6.35M","-2.55%"
"2020年08月05日","9,410.0","9,150.0","9,420.0","9,020.0","2.43M","3.52%"
"2020年08月04日","9,090.0","9,510.0","9,540.0","9,040.0","2.22M","-2.68%"
"2020年08月03日","9,340.0","9,140.0","9,400.0","9,020.0","1.79M","1.52%"
"2020年07月31日","9,200.0","9,350.0","9,460.0","9,090.0","2.51M","-2.85%"
"2020年07月30日","9,470.0","9,640.0","9,690.0","9,390.0","1.62M","-1.35%"
"2020年07月29日","9,600.0","9,670.0","9,850.0","9,510.0","1.86M","-2.04%"
"2020年07月28日","9,800.0","9,900.0","10,010.0","9,750.0","1.96M","0.41%"
"2020年07月27日","9,760.0","9,830.0","9,870.0","9,580.0","2.88M","-4.41%"
"2020年07月22日","10,210.0","10,120.0","10,220.0","9,930.0","1.85M","-1.54%"
"2020年07月21日","10,370.0","10,240.0","10,410.0","10,060.0","2.17M","4.01%"
"2020年07月20日","9,970.0","10,160.0","10,250.0","9,920.0","2.41M","-2.73%"
"2020年07月17日","10,250.0","10,010.0","10,520.0","9,970.0","2.39M","0.10%"
"2020年07月16日","10,240.0","10,510.0","10,540.0","10,170.0","3.11M","-5.97%"
"2020年07月15日","10,890.0","11,160.0","11,200.0","10,820.0","2.88M","-3.97%"
"2020年07月14日","11,340.0","11,300.0","11,540.0","11,150.0","2.21M","-1.82%"
"2020年07月13日","11,550.0","11,630.0","11,640.0","11,200.0","2.42M","0.35%"
"2020年07月10日","11,510.0","11,520.0","11,750.0","11,460.0","2.21M","0.79%"
"2020年07月09日","11,420.0","11,240.0","11,590.0","11,080.0","2.75M","2.51%"
"2020年07月08日","11,140.0","11,190.0","11,260.0","10,980.0","2.20M","-0.54%"
"2020年07月07日","11,200.0","10,660.0","11,200.0","10,600.0","3.82M","6.87%"
"2020年07月06日","10,480.0","10,300.0","10,540.0","10,230.0","1.81M","1.55%"
"2020年07月03日","10,320.0","10,000.0","10,320.0","9,810.0","2.39M","1.67%"
"2020年07月02日","10,150.0","10,500.0","10,510.0","9,940.0","2.85M","-2.40%"
"2020年07月01日","10,400.0","10,220.0","10,640.0","10,210.0","2.62M","2.36%"
"2020年06月30日","10,160.0","10,800.0","10,840.0","10,080.0","4.25M","-5.40%"
"2020年06月29日","10,740.0","10,380.0","10,950.0","10,380.0","2.91M","2.58%"
"2020年06月26日","10,470.0","10,500.0","10,560.0","10,330.0","1.25M","-0.10%"
"2020年06月25日","10,480.0","10,410.0","10,550.0","10,350.0","1.12M","0.29%"
"2020年06月24日","10,450.0","10,410.0","10,620.0","10,310.0","1.46M","0.77%"
"2020年06月23日","10,370.0","10,570.0","10,590.0","10,220.0","1.64M","-0.77%"
"2020年06月22日","10,450.0","10,300.0","10,500.0","10,220.0","1.43M","1.16%"
"2020年06月19日","10,330.0","10,630.0","10,700.0","10,310.0","2.91M","-1.53%"
"2020年06月18日","10,490.0","10,510.0","10,640.0","10,280.0","2.28M","-0.10%"
"2020年06月17日","10,500.0","10,420.0","10,730.0","10,350.0","3.11M","1.84%"
"2020年06月16日","10,310.0","9,760.0","10,360.0","9,680.0","5.11M","10.27%"
"2020年06月15日","9,350.0","9,770.0","9,890.0","9,350.0","2.99M","-4.30%"
"2020年06月12日","9,770.0","9,300.0","9,890.0","9,290.0","3.33M","0.93%"
"2020年06月11日","9,680.0","9,800.0","9,940.0","9,630.0","2.91M","-0.10%"
"2020年06月10日","9,690.0","9,340.0","9,790.0","9,330.0","2.54M","3.75%"
"2020年06月09日","9,340.0","9,570.0","9,570.0","9,150.0","2.83M","-3.31%"
"2020年06月08日","9,660.0","9,660.0","9,920.0","9,520.0","2.66M","2.22%"
"2020年06月05日","9,450.0","9,320.0","9,460.0","9,270.0","1.56M","1.07%"
"2020年06月04日","9,350.0","9,400.0","9,410.0","9,210.0","1.90M","0.21%"
"2020年06月03日","9,330.0","9,440.0","9,500.0","9,100.0","2.38M","0.86%"
"2020年06月02日","9,250.0","9,030.0","9,280.0","8,910.0","2.53M","0.98%"
"2020年06月01日","9,160.0","8,930.0","9,330.0","8,890.0","3.07M","3.50%"
"2020年05月29日","8,850.0","8,410.0","8,850.0","8,380.0","7.00M","3.51%"
"2020年05月28日","8,550.0","8,870.0","8,880.0","8,210.0","3.59M","-2.73%"
"2020年05月27日","8,790.0","8,940.0","8,940.0","8,620.0","3.09M","-3.09%"
"2020年05月26日","9,070.0","8,810.0","9,080.0","8,760.0","2.40M","4.01%"
"2020年05月25日","8,720.0","8,610.0","8,850.0","8,540.0","2.16M","4.31%"
"2020年05月22日","8,360.0","8,150.0","8,390.0","8,120.0","1.58M","1.83%"
"2020年05月21日","8,210.0","8,300.0","8,380.0","8,110.0","1.99M","0.00%"
"2020年05月20日","8,210.0","7,750.0","8,260.0","7,740.0","2.51M","6.62%"
"2020年05月19日","7,700.0","7,700.0","7,730.0","7,500.0","1.67M","2.26%"
"2020年05月18日","7,530.0","7,500.0","7,590.0","7,410.0","1.26M","-1.57%"
"2020年05月15日","7,650.0","7,640.0","7,730.0","7,540.0","1.51M","2.00%"
"2020年05月14日","7,500.0","7,510.0","7,640.0","7,430.0","1.42M","-2.09%"
"2020年05月13日","7,660.0","7,570.0","7,680.0","7,320.0","2.81M","-1.54%"
"2020年05月12日","7,780.0","7,720.0","7,900.0","7,650.0","1.64M","2.23%"
"2020年05月11日","7,610.0","7,740.0","7,760.0","7,360.0","1.74M","-0.78%"
"2020年05月08日","7,670.0","7,600.0","7,790.0","7,570.0","2.11M","2.27%"
"2020年05月07日","7,500.0","7,280.0","7,500.0","7,180.0","2.15M","5.19%"
"2020年05月01日","7,130.0","7,050.0","7,320.0","7,010.0","2.41M","-1.11%"
"2020年04月30日","7,210.0","6,640.0","7,270.0","6,610.0","5.02M","14.99%"
"2020年04月28日","6,270.0","6,200.0","6,290.0","6,150.0","1.61M","2.12%"
"2020年04月27日","6,140.0","6,100.0","6,220.0","6,040.0","1.26M","2.33%"
"2020年04月24日","6,000.0","6,020.0","6,140.0","5,960.0","1.12M","-1.48%"
"2020年04月23日","6,090.0","6,240.0","6,250.0","6,040.0","1.50M","-0.65%"
"2020年04月22日","6,130.0","5,960.0","6,140.0","5,850.0","1.68M","1.16%"
"2020年04月21日","6,060.0","6,110.0","6,210.0","6,000.0","1.38M","-2.26%"
"2020年04月20日","6,200.0","6,070.0","6,270.0","6,050.0","1.87M","2.14%"
"2020年04月17日","6,070.0","5,940.0","6,100.0","5,920.0","2.43M","5.38%"
"2020年04月16日","5,760.0","5,520.0","5,770.0","5,510.0","1.48M","1.77%"
"2020年04月15日","5,660.0","5,590.0","5,760.0","5,550.0","1.98M","2.35%"
"2020年04月14日","5,530.0","5,280.0","5,560.0","5,280.0","1.88M","6.55%"
"2020年04月13日","5,190.0","5,290.0","5,340.0","5,170.0","872.20K","-1.70%"
"2020年04月10日","5,280.0","5,390.0","5,420.0","5,210.0","924.40K","-2.04%"
