"日付け","終値","始値","高値","安値","出来高","前日比%"
"2020年08月11日","50,040.0","50,690.0","50,970.0","49,680.0","1.36M","-0.83%"
"2020年08月07日","50,460.0","51,400.0","51,450.0","50,110.0","2.66M","2.58%"
"2020年08月06日","49,190.0","49,500.0","49,500.0","48,710.0","1.11M","0.18%"
"2020年08月05日","49,100.0","48,690.0","49,290.0","48,310.0","1.37M","3.17%"
"2020年08月04日","47,590.0","47,800.0","48,550.0","47,440.0","1.47M","1.32%"
"2020年08月03日","46,970.0","46,000.0","47,190.0","45,860.0","912.10K","1.14%"
"2020年07月31日","46,440.0","47,200.0","47,370.0","46,250.0","907.40K","-1.82%"
"2020年07月30日","47,300.0","47,330.0","47,740.0","47,230.0","592.20K","0.06%"
"2020年07月29日","47,270.0","47,250.0","47,400.0","46,870.0","653.80K","-0.04%"
"2020年07月28日","47,290.0","47,700.0","48,030.0","47,270.0","678.10K","-0.44%"
"2020年07月27日","47,500.0","47,680.0","48,050.0","47,260.0","782.30K","-0.38%"
"2020年07月22日","47,680.0","47,500.0","47,900.0","47,240.0","842.80K","-0.40%"
"2020年07月21日","47,870.0","47,790.0","48,410.0","47,610.0","1.18M","1.81%"
"2020年07月20日","47,020.0","47,410.0","47,580.0","46,710.0","887.50K","-1.32%"
"2020年07月17日","47,650.0","47,830.0","48,050.0","47,330.0","656.10K","-0.21%"
"2020年07月16日","47,750.0","48,040.0","48,340.0","47,600.0","986.50K","-1.97%"
"2020年07月15日","48,710.0","48,400.0","48,800.0","47,980.0","867.70K","1.27%"
"2020年07月14日","48,100.0","48,300.0","48,810.0","47,710.0","894.00K","-1.43%"
"2020年07月13日","48,800.0","48,780.0","48,950.0","48,230.0","780.40K","0.25%"
"2020年07月10日","48,680.0","49,570.0","49,650.0","48,680.0","899.40K","-1.95%"
"2020年07月09日","49,650.0","50,000.0","50,070.0","49,470.0","992.20K","0.04%"
"2020年07月08日","49,630.0","51,350.0","51,350.0","49,630.0","1.41M","-3.74%"
